totalneto,codagente,nomagente,codgrupo,codsubgrup,nomgrupo,nomsubgrup,codart,nomart,cantfact,cantdevol,cantneto
148434.39,2,VENTAS DIRECTAS,1,7,FILETES Y LOMOS,PORCIONES,LF0031,PORCIONES DE SALMON 150-220 GR,11.079,0,11.079
58581.8868,2,VENTAS DIRECTAS,1,7,FILETES Y LOMOS,PORCIONES,LF0011,PORCIONES DE ATUN,6.078,0,6.078
3138.642,2,VENTAS DIRECTAS,1,7,FILETES Y LOMOS,PORCIONES,LF0018,PORCIONES DE DORADO 90-110 GR,0.526,0,0.526
111564.02,3,GEOVANNI LUNA,2,3,PESCADO ENTERO,SIN VICERAS Y ESCAMAS,PE0003,PARGO ROJO 0-1 MANCHADO SIN ESCAMAS,31.8,0,31.8
44844.4,2,VENTAS DIRECTAS,2,3,PESCADO ENTERO,SIN VICERAS Y ESCAMAS,PE0008,PESCADO ECONOMICO,22,0,22
28212.25,1,VENTAS POR TERCERO,2,3,PESCADO ENTERO,SIN VICERAS Y ESCAMAS,PE0010,PARGO ROJO ENTERO 250-350GR,6.07,0,6.07
15247.98,2,VENTAS DIRECTAS,2,3,PESCADO ENTERO,SIN VICERAS Y ESCAMAS,PE0007,TILAPIA NEGRA,4.53,0,4.53
5028.24,2,VENTAS DIRECTAS,2,3,PESCADO ENTERO,SIN VICERAS Y ESCAMAS,PE0002,CORVINA 500-700 GR,1.05,0,1.05
724.88,2,VENTAS DIRECTAS,2,3,PESCADO ENTERO,SIN VICERAS Y ESCAMAS,PE0001,CORVINA 500 GR,0.2,0,0.2
1492974,2,VENTAS DIRECTAS,3,1,MARISCOS,ENTERO,MA0018,PULPO ENTERO,167.28,0,167.28
4515.2,3,GEOVANNI LUNA,3,1,MARISCOS,ENTERO,MA0005,ALMEJAS BLANCAS ENTERAS,2,0,2
9180,3,GEOVANNI LUNA,3,1,MARISCOS,ENTERO,MA0002,PULPO NACIONAL 500-800 GR,1,0,1
155393.85,2,VENTAS DIRECTAS,3,2,MARISCOS,TENTACULOS,MA0003,TENTACULOS CALAMAR 1 KG,47,0,47
68551.25,2,VENTAS DIRECTAS,3,3,MARISCOS,ANILLOS,MA0008,ANILLOS  DE CALAMAR 1/2 KILO,42,0,42
16203,2,VENTAS DIRECTAS,3,3,MARISCOS,ANILLOS,MA0004,ANILLOS CALAMAR,4.1,0,4.1
257988.3,1,VENTAS POR TERCERO,3,6,MARISCOS,MEDIA CONCHA,MA0006,MEJILLONES MEDIA CONCHA,56,0,56
23675,2,VENTAS DIRECTAS,4,2,PREPARADOS,CABEZAS,PR0002,CABEZAS DE PESCADO,22,0,22
818033.6,2,VENTAS DIRECTAS,4,4,PREPARADOS,MARISCADA,PR0001,MARISCADA 500 GR,577,0,577
253946.5,1,VENTAS POR TERCERO,4,4,PREPARADOS,MARISCADA,PR0003,MARISCADA,50,1,49
196560,3,GEOVANNI LUNA,4,4,PREPARADOS,MARISCADA,MA0017,MARISCADA PREMIUM 1 KG,44,0,44
43924,2,VENTAS DIRECTAS,4,4,PREPARADOS,MARISCADA,MA0015,MARISCADA PREMIUM 1/2 KILO,17,0,17
58731,2,VENTAS DIRECTAS,4,5,PREPARADOS,CUBOS,PR0004,CUBOS DE ATUN,8.5,0,8.5
290553.5,3,GEOVANNI LUNA,4,6,PREPARADOS,PICADURA,PR0007,PICADURA DE ESPADA,74,0,74
25156.5,2,VENTAS DIRECTAS,4,6,PREPARADOS,PICADURA,PR0015,PICADURA DE ESPADA 500 GR,7.5,0,7.5
23370654,1,VENTAS POR TERCERO,5,1,CAMARONES,CULTIVO,CAM0020,CAMARON CULTIVO 41/50,4237,0,4237
10623832,3,GEOVANNI LUNA,5,1,CAMARONES,CULTIVO,CAM0019,CAMARON DE CULTIVO 51/60,2057.5,0,2057.5
5215428.5,3,GEOVANNI LUNA,5,1,CAMARONES,CULTIVO,CAM0018,CAMARON DE CULTIVO 61/70,1062.5,0,1062.5
3438952,1,VENTAS POR TERCERO,5,1,CAMARONES,CULTIVO,CAM0026,CAMARON 16/20 CULTIVO TAIL ON,419,0,419
2843047.5,3,GEOVANNI LUNA,5,1,CAMARONES,CULTIVO,CAM0024,CAMARON 26/30 CULTIVO TAIL ON,393.6,0,393.6
2649200.8,2,VENTAS DIRECTAS,5,1,CAMARONES,CULTIVO,CAM0025,CAMARON 21/25 CULTIVO TAILON,370.7,0,370.7
1460481,2,VENTAS DIRECTAS,5,1,CAMARONES,CULTIVO,CAM0021,CAMARON DE CULTIVO 36/40,258,0,258
523068,2,VENTAS DIRECTAS,5,1,CAMARONES,CULTIVO,CAM0017,CAMARON DE CULTIVO 71/90,105,0,105
523255.824,2,VENTAS DIRECTAS,5,1,CAMARONES,CULTIVO,CAM0055,CAMARON CULTIVO 41/50 PREMIUM,63.2,0,63.2
331056,3,GEOVANNI LUNA,5,1,CAMARONES,CULTIVO,CAM0023,CAMARON 26/30 CULTIVO,46,0,46
136530,1,VENTAS POR TERCERO,5,1,CAMARONES,CULTIVO,CAM0029,CAMARON CAMELLO 91/110,30,0,30
92582.1,1,VENTAS POR TERCERO,5,1,CAMARONES,CULTIVO,CAM0027,CAMARON 26/30 CULTIVO TAIL ON PREMIUM,9,0,9
41179.95,2,VENTAS DIRECTAS,5,1,CAMARONES,CULTIVO,CAM0016,CAMARON BROKEN CULTIVO,8.5,0,8.5
36408,3,GEOVANNI LUNA,5,1,CAMARONES,CULTIVO,CAM0032,CAMARON CULTIVO P&D 31/35,6,0,6
11774.2,2,VENTAS DIRECTAS,5,1,CAMARONES,CULTIVO,CAM0036,CAMARON 21/25 CULTIVO TAIL ON PREMIUM,1,0,1
6610.5,2,VENTAS DIRECTAS,5,1,CAMARONES,CULTIVO,CAM0043,CAMARON CULTIVO 26/30 PREMIUM,0.5,0,0.5
2858718,1,VENTAS POR TERCERO,5,2,CAMARONES,MAR,CAM0003,CAMARON PINKY 51/60,557,0,557
2877378,1,VENTAS POR TERCERO,5,2,CAMARONES,MAR,CAM0005,CAMARON PINKY 41/50,528,0,528
1411639.5,1,VENTAS POR TERCERO,5,2,CAMARONES,MAR,CAM0004,CAMARON PINKY 61/70,282,0,282
1930753,1,VENTAS POR TERCERO,5,2,CAMARONES,MAR,CAM0009,CAMARON PINKY TAIL ON 26/30,270,0,270
899968,2,VENTAS DIRECTAS,5,2,CAMARONES,MAR,CAM0011,CAMARON 21/25 PINKY TAIL ON 1/2 KILO,131.1,0,131.1
970152,2,VENTAS DIRECTAS,5,2,CAMARONES,MAR,CAM0010,CAMARON CULTIVO 21/25,129,0,129
433102.5,1,VENTAS POR TERCERO,5,2,CAMARONES,MAR,CAM0002,CAMARON PINKY 71/90,89,0,89
412050,1,VENTAS POR TERCERO,5,2,CAMARONES,MAR,CAM0006,CAMARON PINKY 36/40,75,0,75
263958,2,VENTAS DIRECTAS,5,2,CAMARONES,MAR,CAM0008,CAMARON 26/30 PINKY,37,0,37
199864,2,VENTAS DIRECTAS,5,2,CAMARONES,MAR,CAM0030,CAMARON 31/35 PINKY,30.5,0,30.5
15368.85,2,VENTAS DIRECTAS,5,2,CAMARONES,MAR,CAM0001,CAMARON BROKEN PINKY,3.5,0,3.5
20700,3,GEOVANNI LUNA,5,2,CAMARONES,MAR,CAM0037,CAMARON PINKY 21/25,3,0,3
46920,1,VENTAS POR TERCERO,5,3,CAMARONES,JUMBO,CAM0013,CAMARON JUMBO U-12,3,0,3
20910,1,VENTAS POR TERCERO,5,3,CAMARONES,JUMBO,CAM0012,CAMARON JUMBO U-15,1.5,0,1.5
32960.36,2,VENTAS DIRECTAS,6,1,VEGETALES CONGELADOS,ARBOLITOS,VEGC0001,BROCOLI(ARBOLITOS)1/2 KILO,14,0,14
4860,2,VENTAS DIRECTAS,6,1,VEGETALES CONGELADOS,ARBOLITOS,VEGC0002,COLIFLOR(ARBOLITOS) 1/2 KILO,2,0,2
271048.24,2,VENTAS DIRECTAS,6,2,VEGETALES CONGELADOS,CUADROS,VEGC0016,AGUACATE(CUADROS)1/2 KILO,85,0,85
30495.04,2,VENTAS DIRECTAS,6,2,VEGETALES CONGELADOS,CUADROS,VEGC0005,CEBOLLA AMARILLA (CUADROS)1/2 KILO,19,0,19
23380.94,2,VENTAS DIRECTAS,6,2,VEGETALES CONGELADOS,CUADROS,VEGC0009,CHILE DULCE VERDE(CUADROS)1/2 KILO,14,0,14
18262.1,2,VENTAS DIRECTAS,6,2,VEGETALES CONGELADOS,CUADROS,VEGC0042,CHAYOTE 1/2 KILO,12,0,12
26889.1,2,VENTAS DIRECTAS,6,2,VEGETALES CONGELADOS,CUADROS,VEGC0034,AGUACATE HASS SUPER EXTRA 1/2 KILO,8,0,8
29450,2,VENTAS DIRECTAS,6,2,VEGETALES CONGELADOS,CUADROS,VEGC0027,AGUACATE(CUADROS) 1 KG,5,0,5
10835.18,2,VENTAS DIRECTAS,6,2,VEGETALES CONGELADOS,CUADROS,VEGC0003,AJO PELADO 1/2 KILO,4,0,4
13067.6,2,VENTAS DIRECTAS,6,2,VEGETALES CONGELADOS,CUADROS,VEGC0033,AGUACATE HASS SUPREMO 1/2 KILO,4,0,4
2472,2,VENTAS DIRECTAS,6,2,VEGETALES CONGELADOS,CUADROS,VEGC0007,CEBOLLA MORADA(CUADROS)1/2 KILO,1,0,1
